pair,M,N,seed,mirror,winner_label,turns,unresolved
WDD:WBB,1,3,30101,1,B,40,false
WDD:WBB,1,3,30102,0,A,21,false
WDD:WBB,1,3,30102,1,A,26,false
WDD:WBB,1,3,30103,0,draw,100,true
WDD:WBB,1,3,30103,1,A,18,false
WDD:WBB,1,3,30104,0,A,29,false
WDD:WBB,1,3,30104,1,A,32,false
WDD:WBB,1,3,30105,0,B,21,false
WDD:WBB,1,3,30105,1,A,20,false
WDD:WBB,1,3,30106,0,B,19,false
WDD:WBB,1,3,30106,1,A,22,false
WDD:WBB,1,3,30107,0,A,21,false
WDD:WBB,1,3,30107,1,B,30,false
WDD:WBB,1,3,30108,0,A,29,false
WDD:WBB,1,3,30108,1,B,22,false
WDD:WBB,1,3,30109,0,A,23,false
WDD:WBB,1,3,30109,1,A,22,false
WDD:WBB,1,3,30110,0,A,23,false
WDD:WBB,1,3,30110,1,A,16,false
WDD:WBB,1,3,30111,0,A,17,false
WDD:WBB,1,3,30111,1,A,24,false
WDD:WBB,1,3,30112,0,A,29,false
WDD:WBB,1,3,30112,1,A,18,false
WDD:WBB,1,3,30113,0,B,17,false
WDD:WBB,1,3,30113,1,A,26,false
WDD:WBB,1,3,30114,0,A,19,false
WDD:WBB,1,3,30114,1,A,16,false
WDD:WBB,1,3,30115,0,B,23,false
WDD:WBB,1,3,30115,1,A,16,false
WDD:WBB,1,3,30116,0,A,19,false
WDD:WBB,1,3,30116,1,A,22,false
WDD:WBB,1,3,30117,0,A,25,false
WDD:WBB,1,3,30117,1,B,22,false
WDD:WBB,1,3,30118,0,A,25,false
WDD:WBB,1,3,30118,1,A,20,false
WDD:WBB,1,3,30119,0,B,23,false
WDD:WBB,1,3,30119,1,A,24,false
WDD:WBB,1,3,30120,0,A,15,false
WDD:WBB,1,3,30120,1,B,22,false
WDD:WBB,1,3,30121,0,A,47,false
WDD:WBB,1,3,30121,1,B,50,false
WDD:WBB,1,3,30122,0,A,15,false
WDD:WBB,1,3,30122,1,B,20,false
WDD:WBB,1,3,30123,0,A,21,false
WDD:WBB,1,3,30123,1,B,20,false
WDD:WBB,1,3,30124,0,B,25,false
WDD:WBB,1,3,30124,1,A,26,false
WDD:WBB,1,3,30125,0,B,17,false
WDD:WBB,1,3,30125,1,B,16,false
WDD:WBB,1,3,30126,0,B,21,false
WDD:WBB,1,3,30126,1,A,26,false
WDD:WBB,1,3,30127,0,A,19,false
WDD:WBB,1,3,30127,1,A,22,false
WDD:WBB,1,3,30128,0,A,27,false
WDD:WBB,1,3,30128,1,A,16,false
WDD:WBB,1,3,30129,0,A,19,false
WDD:WBB,1,3,30129,1,B,22,false
WDD:WBB,1,3,30130,0,A,21,false
WDD:WBB,1,3,30130,1,B,22,false
WDD:WBB,1,3,30131,0,A,35,false
WDD:WBB,1,3,30131,1,A,28,false
WDD:WBB,1,3,30132,0,B,17,false
WDD:WBB,1,3,30132,1,B,22,false
WDD:WBB,1,3,30133,0,A,27,false
WDD:WBB,1,3,30133,1,B,20,false
WDD:WBB,1,3,30134,0,A,25,false
WDD:WBB,1,3,30134,1,B,16,false
WDD:WBB,1,3,30135,0,B,25,false
WDD:WBB,1,3,30135,1,A,18,false
WDD:WBB,1,3,30136,0,A,21,false
WDD:WBB,1,3,30136,1,A,26,false
WDD:WBB,1,3,30137,0,A,45,false
WDD:WBB,1,3,30137,1,A,30,false
WDD:WBB,1,3,30138,0,B,21,false
WDD:WBB,1,3,30138,1,A,26,false
WDD:WBB,1,3,30139,0,A,21,false
WDD:WBB,1,3,30139,1,B,22,false
WDD:WBB,1,3,30140,0,A,21,false
WDD:WBB,1,3,30140,1,A,28,false
WDD:WBB,1,3,30141,0,A,15,false
WDD:WBB,1,3,30141,1,B,20,false
WDD:WBB,1,3,30142,0,A,27,false
WDD:WBB,1,3,30142,1,A,34,false
