price,pair_id,seed,mirror,pos_a,comp_a,comp_b,cost_a,cost_b,winner_label,turns,unresolved
A,3,13,1,P2,0w0c3b,1w1c2b,42,40,A,22,false
A,3,14,0,P1,0w0c3b,1w1c2b,42,40,B,28,false
A,3,14,1,P2,0w0c3b,1w1c2b,42,40,A,26,false
A,3,15,0,P1,0w0c3b,1w1c2b,42,40,A,40,false
A,3,15,1,P2,0w0c3b,1w1c2b,42,40,B,25,false
A,3,16,0,P1,0w0c3b,1w1c2b,42,40,B,26,false
A,3,16,1,P2,0w0c3b,1w1c2b,42,40,A,24,false
A,3,17,0,P1,0w0c3b,1w1c2b,42,40,A,41,false
A,3,17,1,P2,0w0c3b,1w1c2b,42,40,A,28,false
A,3,18,0,P1,0w0c3b,1w1c2b,42,40,B,18,false
A,3,18,1,P2,0w0c3b,1w1c2b,42,40,B,19,false
A,3,19,0,P1,0w0c3b,1w1c2b,42,40,B,24,false
A,3,19,1,P2,0w0c3b,1w1c2b,42,40,B,23,false
A,3,20,0,P1,0w0c3b,1w1c2b,42,40,A,29,false
A,3,20,1,P2,0w0c3b,1w1c2b,42,40,A,33,false
A,4,1,0,P1,0w0c3b,1w3c1b,42,40,B,20,false
A,4,1,1,P2,0w0c3b,1w3c1b,42,40,A,30,false
A,4,2,0,P1,0w0c3b,1w3c1b,42,40,B,30,false
A,4,2,1,P2,0w0c3b,1w3c1b,42,40,A,28,false
A,4,3,0,P1,0w0c3b,1w3c1b,42,40,B,26,false
A,4,3,1,P2,0w0c3b,1w3c1b,42,40,A,27,false
A,4,4,0,P1,0w0c3b,1w3c1b,42,40,B,20,false
A,4,4,1,P2,0w0c3b,1w3c1b,42,40,B,25,false
A,4,5,0,P1,0w0c3b,1w3c1b,42,40,A,25,false
A,4,5,1,P2,0w0c3b,1w3c1b,42,40,B,37,false
A,4,6,0,P1,0w0c3b,1w3c1b,42,40,B,16,false
A,4,6,1,P2,0w0c3b,1w3c1b,42,40,B,17,false
A,4,7,0,P1,0w0c3b,1w3c1b,42,40,B,18,false
A,4,7,1,P2,0w0c3b,1w3c1b,42,40,A,25,false
A,4,8,0,P1,0w0c3b,1w3c1b,42,40,B,34,false
A,4,8,1,P2,0w0c3b,1w3c1b,42,40,B,19,false
A,4,9,0,P1,0w0c3b,1w3c1b,42,40,B,24,false
A,4,9,1,P2,0w0c3b,1w3c1b,42,40,B,35,false
A,4,10,0,P1,0w0c3b,1w3c1b,42,40,B,22,false
A,4,10,1,P2,0w0c3b,1w3c1b,42,40,B,23,false
A,4,11,0,P1,0w0c3b,1w3c1b,42,40,A,17,false
A,4,11,1,P2,0w0c3b,1w3c1b,42,40,B,21,false
A,4,12,0,P1,0w0c3b,1w3c1b,42,40,B,36,false
A,4,12,1,P2,0w0c3b,1w3c1b,42,40,B,21,false
A,4,13,0,P1,0w0c3b,1w3c1b,42,40,B,26,false
A,4,13,1,P2,0w0c3b,1w3c1b,42,40,B,21,false
A,4,14,0,P1,0w0c3b,1w3c1b,42,40,B,34,false
A,4,14,1,P2,0w0c3b,1w3c1b,42,40,B,19,false
A,4,15,0,P1,0w0c3b,1w3c1b,42,40,A,33,false
A,4,15,1,P2,0w0c3b,1w3c1b,42,40,A,29,false
A,4,16,0,P1,0w0c3b,1w3c1b,42,40,A,21,false
A,4,16,1,P2,0w0c3b,1w3c1b,42,40,B,25,false
A,4,17,0,P1,0w0c3b,1w3c1b,42,40,B,36,false
A,4,17,1,P2,0w0c3b,1w3c1b,42,40,A,34,false
A,4,18,0,P1,0w0c3b,1w3c1b,42,40,B,16,false
A,4,18,1,P2,0w0c3b,1w3c1b,42,40,B,19,false
A,4,19,0,P1,0w0c3b,1w3c1b,42,40,B,32,false
A,4,19,1,P2,0w0c3b,1w3c1b,42,40,B,23,false
A,4,20,0,P1,0w0c3b,1w3c1b,42,40,B,24,false
A,4,20,1,P2,0w0c3b,1w3c1b,42,40,B,29,false
A,5,1,0,P1,0w0c3b,1w5c0b,42,40,B,20,false
A,5,1,1,P2,0w0c3b,1w5c0b,42,40,B,15,false
A,5,2,0,P1,0w0c3b,1w5c0b,42,40,B,24,false
A,5,2,1,P2,0w0c3b,1w5c0b,42,40,B,21,false
A,5,3,0,P1,0w0c3b,1w5c0b,42,40,B,18,false
A,5,3,1,P2,0w0c3b,1w5c0b,42,40,B,13,false
A,5,4,0,P1,0w0c3b,1w5c0b,42,40,B,24,false
A,5,4,1,P2,0w0c3b,1w5c0b,42,40,A,25,false
A,5,5,0,P1,0w0c3b,1w5c0b,42,40,B,24,false
A,5,5,1,P2,0w0c3b,1w5c0b,42,40,A,25,false
A,5,6,0,P1,0w0c3b,1w5c0b,42,40,B,18,false
A,5,6,1,P2,0w0c3b,1w5c0b,42,40,B,15,false
A,5,7,0,P1,0w0c3b,1w5c0b,42,40,B,16,false
A,5,7,1,P2,0w0c3b,1w5c0b,42,40,B,21,false
A,5,8,0,P1,0w0c3b,1w5c0b,42,40,B,24,false
A,5,8,1,P2,0w0c3b,1w5c0b,42,40,B,17,false
A,5,9,0,P1,0w0c3b,1w5c0b,42,40,A,24,false
A,5,9,1,P2,0w0c3b,1w5c0b,42,40,B,19,false
A,5,10,0,P1,0w0c3b,1w5c0b,42,40,B,22,false
A,5,10,1,P2,0w0c3b,1w5c0b,42,40,B,19,false
A,5,11,0,P1,0w0c3b,1w5c0b,42,40,B,12,false
A,5,11,1,P2,0w0c3b,1w5c0b,42,40,B,17,false
A,5,12,0,P1,0w0c3b,1w5c0b,42,40,B,18,false
A,5,12,1,P2,0w0c3b,1w5c0b,42,40,B,17,false
A,5,13,0,P1,0w0c3b,1w5c0b,42,40,B,18,false
A,5,13,1,P2,0w0c3b,1w5c0b,42,40,B,15,false
A,5,14,0,P1,0w0c3b,1w5c0b,42,40,B,18,false
A,5,14,1,P2,0w0c3b,1w5c0b,42,40,B,19,false
A,5,15,0,P1,0w0c3b,1w5c0b,42,40,A,21,false
A,5,15,1,P2,0w0c3b,1w5c0b,42,40,A,25,false
A,5,16,0,P1,0w0c3b,1w5c0b,42,40,B,16,false
A,5,16,1,P2,0w0c3b,1w5c0b,42,40,B,19,false
A,5,17,0,P1,0w0c3b,1w5c0b,42,40,B,22,false
A,5,17,1,P2,0w0c3b,1w5c0b,42,40,B,31,false
A,5,18,0,P1,0w0c3b,1w5c0b,42,40,B,16,false
A,5,18,1,P2,0w0c3b,1w5c0b,42,40,B,15,false
A,5,19,0,P1,0w0c3b,1w5c0b,42,40,B,22,false
A,5,19,1,P2,0w0c3b,1w5c0b,42,40,B,17,false
A,5,20,0,P1,0w0c3b,1w5c0b,42,40,B,18,false
A,5,20,1,P2,0w0c3b,1w5c0b,42,40,B,21,false
A,6,1,0,P1,0w0c3b,2w0c2b,42,38,B,28,false
A,6,1,1,P2,0w0c3b,2w0c2b,42,38,A,26,false
A,6,2,0,P1,0w0c3b,2w0c2b,42,38,A,35,false
A,6,2,1,P2,0w0c3b,2w0c2b,42,38,A,24,false
A,6,3,0,P1,0w0c3b,2w0c2b,42,38,A,20,false
A,6,3,1,P2,0w0c3b,2w0c2b,42,38,A,28,false
A,6,4,0,P1,0w0c3b,2w0c2b,42,38,A,43,false
A,6,4,1,P2,0w0c3b,2w0c2b,42,38,A,34,false
A,6,5,0,P1,0w0c3b,2w0c2b,42,38,A,27,false
A,6,5,1,P2,0w0c3b,2w0c2b,42,38,A,30,false
A,6,6,0,P1,0w0c3b,2w0c2b,42,38,A,23,false
A,6,6,1,P2,0w0c3b,2w0c2b,42,38,A,28,false
A,6,7,0,P1,0w0c3b,2w0c2b,42,38,A,37,false
A,6,7,1,P2,0w0c3b,2w0c2b,42,38,A,22,false
A,6,8,0,P1,0w0c3b,2w0c2b,42,38,A,35,false
A,6,8,1,P2,0w0c3b,2w0c2b,42,38,A,32,false
A,6,9,0,P1,0w0c3b,2w0c2b,42,38,A,21,false
A,6,9,1,P2,0w0c3b,2w0c2b,42,38,A,30,false
A,6,10,0,P1,0w0c3b,2w0c2b,42,38,A,57,false
A,6,10,1,P2,0w0c3b,2w0c2b,42,38,A,26,false
A,6,11,0,P1,0w0c3b,2w0c2b,42,38,A,31,false
